internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
185379,Kyllinga jubensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Kyllinga,jubensis,,,,,Chiov.,
185381,Macropodiella macrothyrsa,PLANTAE,TRACHEOPHYTA,PODOSTEMALES,MAGNOLIOPSIDA,PODOSTEMACEAE,Macropodiella,macrothyrsa,,,,,(G.Taylor) C.Cusset,"Annual or perennial aquatic plant. Roots usually flattened, thalloid or filiform. Leaves distichous, scattered or imbricated, base often sheathed, margin entire or dissected, flower bisexual, solitary, fruit septicidal, capsule ; seeds numerous."
185382,Riella capensis,PLANTAE,MARCHANTIOPHYTA,SPHAEROCARPALES,MARCHANTIOPSIDA,RIELLACEAE,Riella,capensis,,,,,Cavers,
185383,Nymphaea divaricata,PLANTAE,TRACHEOPHYTA,NYMPHAEALES,MAGNOLIOPSIDA,NYMPHAEACEAE,Nymphaea,divaricata,,,,,Hutch.,
185387,Lobelia limosa,PLANTAE,TRACHEOPHYTA,ASTERALES,MAGNOLIOPSIDA,CAMPANULACEAE,Lobelia,limosa,,,,,(Adamson) E.Wimm.,"<span style=""font-style: italic;"">Lobelia limosa</span> is considered synonymous with <span style=""font-style: italic;"">L. angolensis</span> in Cook 2004."
185388,Justicia bolomboensis,PLANTAE,TRACHEOPHYTA,SCROPHULARIALES,MAGNOLIOPSIDA,ACANTHACEAE,Justicia,bolomboensis,,,,,(De Wild.),"Type: A. Bruneel s.n., Bolombo river near Loka, Congo (holo- BR)"
185406,Isoetes melanotheca,PLANTAE,TRACHEOPHYTA,ISOËTALES,LYCOPODIOPSIDA,ISOËTACEAE,Isoetes,melanotheca,,,,,Alston,"Submerged, emergent or seasonally submerged heterosporus diaspores, mega-andomicrospores or fertilized megagametophyte, dispersed by water and by mud, by animals. Some are sensitive indicator of water quality, stems readily eaten by water fowl and rodents."
185408,Nymphoides guineensis,PLANTAE,TRACHEOPHYTA,SOLANALES,MAGNOLIOPSIDA,MENYANTHACEAE,Nymphoides,guineensis,,,,,A.Raynal,
185415,Aneilema mortonii,PLANTAE,TRACHEOPHYTA,COMMELINALES,LILIOPSIDA,COMMELINACEAE,Aneilema,mortonii,,,,,Brenan,"An apparently annual herb with fibrous roots similar in habit to <span style=""font-style: italic;"">Aneilema paludosum</span> ssp. <span style=""font-style: italic;"">paludosum</span>; leaves up to about 12 cm long and 12 mm broad; flowers white in moistly savanna."
185418,Isopterygium strangulatum,PLANTAE,BRYOPHYTA,HYPNALES,BRYOPSIDA,HYPNACEAE,Isopterygium,strangulatum,,,,,(Hampe ex Müll.Hal.) Broth.,
185432,Ledermanniella tenuifolia,PLANTAE,TRACHEOPHYTA,PODOSTEMALES,MAGNOLIOPSIDA,PODOSTEMACEAE,Ledermanniella,tenuifolia,,,,,(G.Taylor) C.Cusset,
185441,Cyperus koyaliensis,PLANTAE,TRACHEOPHYTA,POALES,LILIOPSIDA,CYPERACEAE,Cyperus,koyaliensis,,,,,Cherm.,
185442,Riella purpureospora,PLANTAE,MARCHANTIOPHYTA,SPHAEROCARPALES,MARCHANTIOPSIDA,RIELLACEAE,Riella,purpureospora,,,,,F.H.Wigg.,
185446,Najas baldwinii,PLANTAE,TRACHEOPHYTA,ALISMATALES,LILIOPSIDA,HYDROCHARITACEAE,Najas,baldwinii,,,,,Horn,Submerged herb with fine fragile stem fixed at the bottom or floating freely.
